	Id	Predicted category
0	2	Business
1	10	Film
2	25	Film
3	28	Football
4	29	Football
5	33	Technology
6	34	Technology
7	37	Film
8	39	Business
9	40	Football
10	44	Film
11	56	Technology
12	66	Football
13	75	Technology
14	77	Technology
15	85	Technology
16	89	Film
17	92	Football
18	107	Football
19	112	Football
20	115	Film
21	139	Film
22	140	Politics
23	152	Business
24	156	Politics
25	162	Business
26	167	Technology
27	170	Film
28	171	Film
29	173	Business
30	182	Football
31	186	Business
32	193	Technology
33	196	Film
34	210	Film
35	218	Football
36	224	Technology
37	227	Film
38	230	Business
39	232	Film
40	247	Technology
41	262	Film
42	273	Film
43	276	Business
44	279	Technology
45	284	Technology
46	286	Business
47	287	Film
48	305	Film
49	316	Technology
50	337	Business
51	342	Business
52	349	Business
53	357	Film
54	363	Film
55	367	Technology
56	368	Business
57	374	Politics
58	377	Film
59	385	Business
60	395	Film
61	401	Politics
62	417	Politics
63	422	Business
64	427	Politics
65	433	Film
66	438	Technology
67	469	Football
68	470	Business
69	473	Technology
70	481	Technology
71	486	Technology
72	490	Business
73	495	Business
74	510	Business
75	519	Business
76	523	Business
77	533	Football
78	536	Technology
79	538	Business
80	545	Business
81	550	Technology
82	551	Technology
83	557	Business
84	558	Film
85	561	Technology
86	565	Business
87	575	Politics
88	583	Film
89	589	Technology
90	592	Politics
91	593	Film
92	594	Technology
93	598	Technology
94	599	Business
95	607	Film
96	614	Football
97	626	Technology
98	627	Business
99	634	Film
100	636	Technology
101	639	Business
102	641	Business
103	643	Technology
104	650	Film
105	655	Technology
106	662	Football
107	666	Football
108	667	Technology
109	673	Football
110	678	Technology
111	693	Film
112	694	Technology
113	696	Football
114	697	Film
115	699	Technology
116	704	Politics
117	706	Business
118	707	Business
119	709	Business
120	717	Film
121	724	Football
122	728	Business
123	732	Film
124	733	Politics
125	741	Film
126	746	Technology
127	747	Film
128	749	Film
129	750	Business
130	754	Technology
131	756	Film
132	768	Business
133	769	Film
134	774	Film
135	775	Technology
136	776	Business
137	789	Football
138	802	Politics
139	804	Politics
140	809	Film
141	816	Film
142	825	Technology
143	827	Film
144	830	Technology
145	837	Technology
146	838	Business
147	839	Film
148	849	Film
149	854	Film
150	865	Business
151	871	Business
152	873	Business
153	884	Business
154	886	Business
155	893	Technology
156	896	Business
157	898	Business
158	907	Technology
159	909	Business
160	910	Film
161	911	Film
162	914	Film
163	916	Film
164	922	Film
165	925	Film
166	926	Film
167	935	Film
168	936	Film
169	946	Politics
170	952	Film
171	954	Football
172	959	Football
173	960	Football
174	961	Politics
175	964	Technology
176	965	Politics
177	968	Technology
178	971	Business
179	972	Technology
180	982	Film
181	983	Politics
182	985	Business
183	987	Technology
184	990	Film
185	994	Film
186	1010	Business
187	1014	Technology
188	1024	Football
189	1026	Business
190	1032	Football
191	1047	Technology
192	1050	Business
193	1059	Film
194	1061	Film
195	1062	Film
196	1069	Technology
197	1072	Technology
198	1074	Film
199	1081	Film
200	1088	Technology
201	1090	Technology
202	1093	Business
203	1097	Business
204	1100	Film
205	1102	Film
206	1105	Film
207	1142	Technology
208	1143	Film
209	1155	Technology
210	1162	Film
211	1163	Technology
212	1169	Technology
213	1174	Film
214	1177	Technology
215	1178	Film
216	1184	Film
217	1185	Business
218	1192	Technology
219	1208	Business
220	1209	Business
221	1215	Technology
222	1217	Business
223	1219	Politics
224	1221	Technology
225	1223	Technology
226	1225	Technology
227	1229	Film
228	1230	Business
229	1239	Technology
230	1251	Business
231	1265	Business
232	1269	Football
233	1282	Technology
234	1287	Football
235	1295	Football
236	1301	Technology
237	1302	Business
238	1306	Business
239	1310	Film
240	1314	Film
241	1322	Business
242	1328	Business
243	1331	Football
244	1332	Film
245	1337	Film
246	1345	Film
247	1349	Business
248	1353	Film
249	1356	Film
250	1359	Business
251	1368	Football
252	1371	Film
253	1377	Technology
254	1381	Football
255	1387	Business
256	1389	Technology
257	1404	Technology
258	1411	Business
259	1413	Football
260	1425	Football
261	1428	Technology
262	1429	Technology
263	1430	Film
264	1433	Business
265	1437	Politics
266	1438	Film
